Username,Bio,PostCount,AvatarDefault,AvatarURL,JoinedDate,Followers,Following,HeuristicScore,HeuristicReasons,AIScore,AIJustification
1gceaser,,0,False,,,0,0,2,No bio; No posts,,
_07539bcc4c62f7fb654f,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
__38872adbefc,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
_dip,,0,False,,,0,0,2,No bio; No posts,,
_eb9bd59fc267acb3d322e,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
_osamaesam00,,0,False,,,0,0,2,No bio; No posts,,
aadish_n,,0,False,,,0,0,2,No bio; No posts,,
abdannassermbarki,,0,False,,,0,0,2,No bio; No posts,,
abdisamed_abdi_6c6cfabe1f,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
abhijeet_mukherjee_fd304d,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
abolfazl_masoumi_1e61b883,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
adham_abozeid_8882eb1fb7a,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
ahmed_some_6d9e0be8c49eea,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
aiworkshield,,1,False,,,0,0,1,No bio,,
aksh_modi_687d3e47a47d387,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
aktarul_gazi_6a98136573c1,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
alamas0o,,0,False,,,0,0,2,No bio; No posts,,
alex_pop_7ac88a8ccff2a942,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
alex_va,,0,False,,,0,0,2,No bio; No posts,,
alexander_kapelas_2a33e91,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
alexandru_giurgiu_5600408,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
alfred_spielweis_98dc28d9,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
alibodama,,0,False,,,0,0,2,No bio; No posts,,
amanuel_abel_450661b50dcb,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
ambuj_yadav_a81632d4d1d3b,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
ameyak2310pfizer,,0,False,,,0,0,2,No bio; No posts,,
amine_maalej_a7c862367290,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
aminu,,0,False,,,0,0,2,No bio; No posts,,
amir_houshanggerami_182c,,0,False,,,0,0,2,No bio; No posts,,
anh_minhnguyn_0a1b9c97e,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
anouar_bourich_9218157558,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
anubhav_agarwal_629b08622,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
anupamrawal,,0,False,,,0,0,2,No bio; No posts,,
anushka_patel_da51abe50e6,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
anwar_amran_18b4fd048c104,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
arash_54o_9d36421eb41d1f0,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
arshan323,,0,False,,,0,0,2,No bio; No posts,,
astra_waterson_69,,0,False,,,0,0,2,No bio; No posts,,
asx,,39,False,,,0,0,1,No bio,,
athashri_keny,,0,False,,,0,0,2,No bio; No posts,,
atmos_fear_c84cff119a084e,,1,False,,,0,0,2,No bio; Suspicious username,,
atreyuro,,0,False,,,0,0,2,No bio; No posts,,
aung_myintthein_92dc0ed4,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
bah123,,1,False,,,0,0,1,No bio,,
bampok_69bampok_ngamok,,0,False,,,0,0,2,No bio; No posts,,
baobuifb03,,1,False,,,0,0,1,No bio,,
bassg0navy,,1,False,,,0,0,1,No bio,,
belhadjmariem,,0,False,,,0,0,2,No bio; No posts,,
billymfh,,0,False,,,0,0,2,No bio; No posts,,
boomboom64,,0,False,,,0,0,2,No bio; No posts,,
broder,,1,False,,,0,0,1,No bio,,
bugee_apps_b1b7c8bdd0d2d5,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
caleb_universe_502c021832,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
camille_coutinho,,0,False,,,0,0,2,No bio; No posts,,
chic_pak_e381d7a667e187f0,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
christian_gonzalez_771dbf,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
christian_schenk_1861f09a,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
christopher_zhang_34fdde8,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
codewithmpia,,0,False,,,0,0,2,No bio; No posts,,
cristopherje,,0,False,,,0,0,2,No bio; No posts,,
cuong0905,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
danny_sanmartin_042276e7d,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
delhimazza,,0,False,,,0,0,2,No bio; No posts,,
demir_sabanci_f0811a9fff8,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
designsavchenko,,0,False,,,0,0,2,No bio; No posts,,
developergoody,,0,False,,,0,0,2,No bio; No posts,,
devgibson85,,0,False,,,0,0,2,No bio; No posts,,
dhinakaran_t_d31192153534,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
